StoreID,StoreName,Location
S001,Store 001,New York
S002,Store 002,Chicago
S003,Store 003,Los Angeles
S004,Store 004,Houston
S005,Store 005,Phoenix
S006,Store 006,Philadelphia
S007,Store 007,San Antonio
S008,Store 008,San Diego
S009,Store 009,Dallas
S010,Store 010,San Jose
S011,Store 011,Austin
S012,Store 012,Jacksonville
S013,Store 013,Fort Worth
S014,Store 014,Columbus
S015,Store 015,Charlotte
S016,Store 016,San Francisco
S017,Store 017,Indianapolis
S018,Store 018,Seattle
S019,Store 019,Denver
S020,Store 020,Washington
S021,Store 021,Boston
S022,Store 022,El Paso
S023,Store 023,Nashville
S024,Store 024,Detroit
S025,Store 025,Oklahoma City
S026,Store 026,Portland
S027,Store 027,Las Vegas
S028,Store 028,Memphis
S029,Store 029,Louisville
S030,Store 030,Baltimore
S031,Store 031,Milwaukee
S032,Store 032,Albuquerque
S033,Store 033,Tucson
S034,Store 034,Fresno
S035,Store 035,Sacramento
S036,Store 036,Kansas City
S037,Store 037,Mesa
S038,Store 038,Atlanta
S039,Store 039,Omaha
S040,Store 040,Raleigh
